No,Model,Learning Rate,Batch Size,Hidden Units,Dropout Rate,Accuracy,Precision,Recall,F1-Score
1,RNN,0.000561,16,32,0.4465,0.7782,0.522,0.5646,0.5338
2,RNN,0.001593,64,32,0.1734,0.7117,0.4751,0.5137,0.4874
3,RNN,0.000406,16,32,0.2465,0.747,0.4989,0.5393,0.5116
4,RNN,0.000817,16,128,0.1682,0.7816,0.524,0.5663,0.5359
5,RNN,0.000135,32,128,0.2761,0.7943,0.5256,0.5689,0.5429
6,RNN,0.000175,64,64,0.308,0.7839,0.5184,0.5612,0.5358
7,RNN,0.00124,32,32,0.4687,0.74,0.5007,0.5389,0.508
8,RNN,0.00015,64,128,0.2427,0.8134,0.5364,0.5799,0.5556
9,RNN,0.000365,64,64,0.1795,0.7556,0.5062,0.5474,0.5181
10,RNN,0.000103,16,32,0.1463,0.7475,0.4901,0.5258,0.5071
11,RNN,0.007767,64,128,0.3685,0.5685,0.1895,0.3333,0.2416
12,RNN,0.000169,32,128,0.257,0.7926,0.5341,0.5766,0.544
13,RNN,0.000242,32,128,0.3463,0.8088,0.5387,0.5833,0.5542
14,RNN,0.00025,32,128,0.3674,0.8047,0.5391,0.5832,0.5518
15,RNN,0.003208,64,128,0.3568,0.5713,0.3503,0.3566,0.3238
16,RNN,0.000282,32,128,0.4158,0.7851,0.5238,0.5657,0.5382
17,RNN,0.00065,32,128,0.3111,0.807,0.5349,0.5797,0.5523
18,RNN,0.00022,64,64,0.212,0.7614,0.5068,0.5489,0.5214
19,RNN,0.000112,64,128,0.4977,0.8065,0.5367,0.5812,0.5528
20,RNN,0.000459,32,128,0.1173,0.8111,0.5412,0.5861,0.5559
21,RNN,0.002644,64,64,0.1353,0.7672,0.5154,0.5567,0.5262
22,RNN,0.000435,32,128,0.1028,0.8082,0.537,0.5821,0.5534
23,RNN,0.000271,32,128,0.2104,0.8105,0.5384,0.583,0.555
24,RNN,0.000927,32,128,0.21,0.7834,0.5256,0.5684,0.5373
25,RNN,0.000346,32,128,0.1049,0.788,0.5246,0.5682,0.5397
26,RNN,0.000162,32,128,0.2206,0.8128,0.5386,0.5837,0.5562
27,RNN,0.000161,32,128,0.2326,0.8053,0.5375,0.5818,0.552
28,RNN,0.000568,32,128,0.2906,0.7972,0.5315,0.5754,0.5461
29,RNN,0.000191,16,64,0.135,0.7787,0.5197,0.5629,0.5337
30,RNN,0.000127,64,128,0.1917,0.7995,0.5342,0.5783,0.548
31,LSTM,0.000561,16,32,0.4465,0.5685,0.1895,0.3333,0.2416
32,LSTM,0.001593,64,32,0.1734,0.7429,0.4933,0.5329,0.5077
33,LSTM,0.000406,16,32,0.2465,0.5685,0.1895,0.3333,0.2416
34,LSTM,0.000817,16,128,0.1682,0.5685,0.1895,0.3333,0.2416
35,LSTM,0.000135,32,128,0.2761,0.7603,0.5069,0.5478,0.5204
36,LSTM,0.000175,64,64,0.308,0.5685,0.1895,0.3333,0.2416
37,LSTM,0.00124,32,32,0.4687,0.5685,0.1895,0.3333,0.2416
38,LSTM,0.00015,64,128,0.2427,0.5685,0.1895,0.3333,0.2416
39,LSTM,0.000365,64,64,0.1795,0.5685,0.1895,0.3333,0.2416
40,LSTM,0.000103,16,32,0.1463,0.5685,0.1895,0.3333,0.2416
41,LSTM,0.007767,32,128,0.3685,0.5685,0.1895,0.3333,0.2416
42,LSTM,0.002694,32,128,0.1045,0.5685,0.1895,0.3333,0.2416
43,LSTM,0.003085,64,128,0.2545,0.5685,0.1895,0.3333,0.2416
44,LSTM,0.001957,32,32,0.3435,0.5685,0.1895,0.3333,0.2416
45,LSTM,0.008163,64,64,0.225,0.807,0.5336,0.5777,0.5516
46,LSTM,0.007221,32,64,0.2951,0.5685,0.1895,0.3333,0.2416
47,LSTM,0.003933,32,64,0.3852,0.5685,0.1895,0.3333,0.2416
48,LSTM,0.000237,64,64,0.212,0.5685,0.1895,0.3333,0.2416
